"Study.ID","lon","lat","aridity"
"389",-122.2333333,37.4,0.82517241044647
"392",140.7619917,-34.04475278,0.0596409916300553
"409",-8.000395556,38.54070806,0.309098848871298
"488_1",-73.23333333,41.96666667,2.36657805837596
"488_2",-72.28333333,42.88333333,1.86880981886148
"452",109.3230556,36.85861111,0.517097515497625
"455",128.1,42.4,0.782784529307023
"691",-97.4,35.2,0.770902416587535
"54",-119.8030889,34.01311111,0.619771853942852
"256",106.81,41.45,0.107484467813268
"643_1",-110.88,31.78,0.363269122473764
"643_2",-110.88,31.78,0.363269122473764
"226",-2.033,36.94055556,0.171947040496321
"807",-111.493,33.753,0.325933344656417
"150",-110.1745226,31.62592644,0.263539882650206
"879",78.17,10,0.485660156646332
"888",-109.94,31.74,0.329125859140058
"898",31.555,-25.065,0.381128777996753
"910",-110.05,31.76,0.275879202956942
"912",-110.87,31.82,0.346936521329612
"914",-110.87,31.82,0.346936521329612
"932",-8.33,39.14,0.414088250104753
"938",109.3166667,36.85,0.517097515497625
"962",-106.75,34.33333333,0.137341325545397
"964_1",-70.26666667,-45.68333333,0.115025906735751
"964_2",-70.26666667,-45.68333333,0.115025906735751
"991",109.32,36.85,0.517097515497625
"1007_1",121.5833333,-21.66666667,0.0262697698654634
"1007_2",121.5833333,-21.66666667,0.0262697698654634
"978",-111.183333,31.666667,0.348635028291665
"299",-75.83333333,39.7,1.3199249997253
"321_1",-2.032777778,36.94166667,0.171947040496321
"321_2",-2.250277778,36.83472222,0.139330070031466
"359",91.06666667,30.5,0.590140503916356
"378",102.9666667,38.56666667,0.0846375236838554
"22",-104.897,41.18255,0.36518770988274
"642_1",-110.847968,31.795914,0.346936521329612
"642_2",-110.847968,31.795914,0.346936521329612
"642_3",-110.847968,31.795914,0.346936521329612
"642_4",-110.847968,31.795914,0.346936521329612
"64",116.8,42.183333,0.345131701791307
"539_1",-110.88,31.78,0.363269122473764
"539_2",-110.88,31.78,0.363269122473764
"542",-5.766667,39.933333,0.215290560398875
"546",-121.283333,39.25,0.864588257429205
"479_1",84.857222,45.3975,0.084543698272435
"479_2",84.856944,45.384444,0.084543698272435
"694",-118.75,36.166667,0.542525408402904
"759_1",-110.85286,31.83342,0.307504890447046
"759_2",-110.85286,31.83342,0.307504890447046
"184",110.1833333,39.48333,0.400749052254877
"199_1",127.15,37.73333333,1.01152704363291
"199_2",127.15,37.75,1.01152704363291
"199_3",127.15,37.75,1.01152704363291
"216",104.5,37.43333333,0.200656907055702
