"Study.ID","lon","lat","MAT","MAP","elev"
"389",-122.2333333,37.4,13.8666667938232,586,138
"392",140.7619917,-34.04475278,17.6166667938232,265,23
"409",-8.000395556,38.54070806,16.0249996185303,626,228
"488_1",-73.23333333,41.96666667,7.20000028610229,1243,457
"488_2",-72.28333333,42.88333333,7.59583330154419,1054,151
"452",109.3230556,36.85861111,9.69999980926514,490,1091
"455",128.1,42.4,2.87916660308838,683,742
"691",-97.4,35.2,15.9166669845581,920,360
"54",-119.8030889,34.01311111,14.595832824707,445,373
"256",106.81,41.45,4.32500028610229,147,1767
"643_1",-110.88,31.78,18.0874996185303,470,1149
"643_2",-110.88,31.78,18.0874996185303,470,1149
"226",-2.033,36.94055556,17.1833343505859,250,207
"807",-111.493,33.753,20.4291667938232,430,679
"150",-110.1745226,31.62592644,17.6291656494141,349,1224
"879",78.17,10,28.6416664123535,916,144
"888",-109.94,31.74,16.4750003814697,413,1524
"898",31.555,-25.065,21.3916664123535,626,356
"910",-110.05,31.76,16.908332824707,367,1384
"912",-110.87,31.82,18.6083335876465,451,1107
"914",-110.87,31.82,18.6083335876465,451,1107
"932",-8.33,39.14,16.2583332061768,709,155
"938",109.3166667,36.85,9.75833320617676,490,1079
"962",-106.75,34.33333333,13.0374994277954,243,1568
"964_1",-70.26666667,-45.68333333,9.89583301544189,201,474
"964_2",-70.26666667,-45.68333333,9.89583301544189,201,474
"991",109.32,36.85,9.75833320617676,490,1079
"1007_1",121.5833333,-21.66666667,26.1916656494141,280,302
"1007_2",121.5833333,-21.66666667,26.1916656494141,280,302
"978",-111.183333,31.666667,18.3125,450,1094
"299",-75.83333333,39.7,11.8583335876465,1155,66
"321_1",-2.032777778,36.94166667,17.2291660308838,245,196
"321_2",-2.250277778,36.83472222,17.8833332061768,218,54
"359",91.06666667,30.5,2.49166655540466,419,4311
"378",102.9666667,38.56666667,8.04166698455811,129,1383
"22",-104.897,41.18255,7.37916660308838,385,1901
"642_1",-110.847968,31.795914,17.9416656494141,495,1207
"642_2",-110.847968,31.795914,17.9416656494141,495,1207
"642_3",-110.847968,31.795914,17.9416656494141,495,1207
"642_4",-110.847968,31.795914,17.9416656494141,495,1207
"64",116.8,42.183333,2.47500014305115,405,1311
"539_1",-110.88,31.78,18.0874996185303,470,1149
"539_2",-110.88,31.78,18.0874996185303,470,1149
"542",-5.766667,39.933333,15.8458337783813,467,270
"546",-121.283333,39.25,16.3083343505859,939,249
"479_1",84.857222,45.3975,8.75833320617676,116,275
"479_2",84.856944,45.384444,8.73750019073486,117,275
"694",-118.75,36.166667,12.8541669845581,636,1325
"759_1",-110.85286,31.83342,18.6124992370605,451,1113
"759_2",-110.85286,31.83342,18.6124992370605,451,1113
"184",110.1833333,39.48333,6.5625,372,1291
"199_1",127.15,37.73333333,10.0041666030884,1311,324
"199_2",127.15,37.75,10.1583337783813,1302,251
"199_3",127.15,37.75,10.1583337783813,1302,251
"216",104.5,37.43333333,7.33333349227905,198,1824
