"","Response type","Response or no response","time of peak","magnitude of peak","speed of linear response"
"varGroupwater",1.21939697098548,1.24276945126256,0,-1.69507407536768,0
"Sample.unitindividual",-1.31928799686857,-1.58773183522033,-1.04827560697428,0,2.43994963794046
"Sample.unitplot/collar",0,0,-1.21946482887108,-2.49456662820704,0
"Sample.unitfootprint",1.49973106306963,1.51897926238369,-1.78714883006207,0,0
"MAT.C.wc",0,0,0,0,0.107943782892882
"MAP.mm.wc",0.0170775310493918,0,-0.0101983717395633,0,0.0249013119267547
"Pulse.typeNatural",0,0,-0.730053200870599,0,0
"Pulse.amount.mm",0,0,0.0365739437654067,0,0
"preVar",-29.9167209017687,0,29.2725026446516,0,-47.4560243062705
"obs",0,0,-0.034984518200745,0,0
"preVar*MAP.mm.wc",0.0684490257164559,0,-0.0623443252481141,0,0.0963803469549357
"MAP.mm.wc*Pulse.amount.mm",NA,0,-6.81575395043718e-05,0,0
