"","summary(test)$r.squared","var1","var2"
"1",0.0193644547959137,"ET","T"
"2",0.0128005116615674,"ET","T"
"3",0.0354643895276829,"ET","Gs"
"4",0.175246381119435,"ET","Gs"
"5",0.472600433524014,"ET","Gs"
"6",0.919675490154297,"ET","Gs"
"7",0.770891039349496,"ET","ecosystemR"
"8",0.694648066307908,"ET","ecosystemR"
"9",0.956334878011905,"ET","ecosystemR"
"10",0.771309419741248,"ET","ecosystemR"
"11",0.543691754449405,"ET","ecosystemR"
"12",0.424795652225261,"ET","ecosystemR"
"13",0.555077936972877,"ET","ecosystemR"
"14",0.6195965476734,"ET","ecosystemR"
"15",0.477868231885557,"ET","ecosystemR"
"16",0.557964014210822,"ET","ecosystemR"
"17",0.416227111532578,"ET","ecosystemR"
"18",0.60693041274047,"ET","ecosystemR"
"19",0.00168231176705401,"ET","ecosystemR"
"20",0.255140485982397,"ET","ecosystemR"
"21",0.082873576481904,"ET","ecosystemR"
"22",0.00311301585014892,"ET","ecosystemR"
"23",0.73190511965269,"ET","ecosystemR"
"24",0.00309884993924132,"ET","ecosystemR"
"25",0.212971593940504,"ET","ecosystemR"
"26",0.371866176991997,"ET","ecosystemR"
"27",0.588825603414506,"ET","ecosystemR"
"28",0.655160498797165,"T","Gs"
"29",0.711593345789197,"T","Gs"
"30",0.844578857290488,"T","Gs"
"31",0.845316970691226,"T","Gs"
"32",0.0422120638492376,"T","Gs"
"33",0.0695436701237583,"T","Gs"
"34",0.220295256484366,"T","Gs"
"35",0.540357066745552,"T","Gs"
"36",0.930665061902599,"T","Gs"
"37",0.984951336718494,"T","Gs"
"38",0.990857674048563,"T","Gs"
"39",0.99749573804423,"T","Gs"
"40",0.821571081607058,"T","Gs"
"41",0.943444059357399,"T","Gs"
"42",0.775203597117009,"T","Gs"
"43",0.827982948731485,"T","Gs"
"44",0.135852763621496,"T","belowgroundR"
"45",0.415121496892665,"T","belowgroundR"
"46",0.299221812539793,"T","belowgroundR"
"47",0.849537727667802,"T","Gs"
"48",0.782905312959436,"T","Gs"
"49",0.341602930035135,"T","Gs"
"50",0.539482371797995,"T","Gs"
"51",0.880021439037055,"T","PWP"
"52",0.754157545786776,"T","PWP"
"53",0.0693556833366454,"T","PWP"
"54",0.063990648158708,"T","PWP"
"55",0.921560057066338,"T","PWP"
"56",0.854224644690595,"T","Gs"
"57",0.73271214876127,"T","Gs"
"58",0.715611451450325,"T","Gs"
"59",0.516271681465272,"T","Gs"
"60",0.783366438692644,"T","Gs"
"61",0.47315070149796,"T","Gs"
"62",0.479434003979711,"T","Gs"
"63",0.81400566365034,"T","Gs"
"64",0.713394571194691,"T","Gs"
"65",0.121739945634239,"Gs","PWP"
"66",0.778244441815151,"Gs","PWP"
"67",0.0953386814294876,"Gs","PWP"
"68",0.380802325707084,"Gs","PWP"
"69",0.904171698837992,"Gs","PWP"
"70",0.977403585753933,"Gs","PWP"
"71",0.91666392980962,"Gs","PWP"
"72",0.960189976117738,"Gs","PWP"
"73",0.707589319201932,"Gs","PWP"
"74",0.151193079814731,"Gs","PWP"
"75",0.493972518217496,"Gs","PWP"
"76",0.583770130847823,"Gs","PWP"
"77",0.308062947923046,"Gs","PWP"
"78",0.340411923581726,"Gs","PWP"
"79",0.842232643455931,"Gs","PWP"
"80",0.431172042943067,"Gs","PWP"
"81",0.734894106970332,"Gs","PWP"
"82",0.72240643253863,"Gs","PWP"
"83",0.927300352777802,"Gs","PWP"
"84",0.980694161147342,"Gs","PWP"
"85",0.881634820491329,"Gs","PWP"
"86",0.877344015761177,"Gs","PWP"
"87",0.0585086939807438,"Gs","PWP"
"88",0.172947783959935,"Gs","PWP"
"89",0.378280265830755,"Gs","PWP"
"90",0.060087112157585,"Gs","PWP"
"91",0.258002377331693,"Gs","PWP"
"92",0.589576147139862,"Gs","PWP"
"93",0.607491063428937,"Gs","PWP"
"94",0.0392743638148163,"Gs","PWP"
"95",0.639456176466129,"Gs","Anet"
"96",0.770514378757062,"Gs","Anet"
"97",0.730237295371802,"Gs","Anet"
"98",0.257692035863879,"PWP","belowgroundR"
"99",0.340860158099316,"PWP","belowgroundR"
"100",0.0255060731734499,"ecosystemR","NPP"
"101",0.0533192752332676,"ecosystemR","NPP"
"102",0.552332419517979,"ecosystemR","NPP"
"103",0.461093455203306,"ecosystemR","belowgroundR"
"104",0.0161192625996916,"ecosystemR","belowgroundR"
"105",0.0194178742794621,"ecosystemR","belowgroundR"
"106",0.436109113010405,"ecosystemR","belowgroundR"
"107",0.0377822179244117,"ecosystemR","belowgroundR"
"108",0.959855664763762,"belowgroundR","NPP"
