From study-source & pulse info,,Record-level information (data),,,,,,,,,,,,,,
Study ID,Pulse ID,Time relative to pulse,Time relative to pulse unit,Variable,Mean,Units,SD,SD type,N,Sample unit,Figure/Table source,Measurement method,Measurement timing,soilm depth,soilm depth units,Notes
389,1,0,hr,rsoil,10.49868766,umol m-2 sec-1,2.121724313,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,1,1,hr,rsoil,23.62204724,umol m-2 sec-1,11.2660263,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,1,2,hr,rsoil,28.13648294,umol m-2 sec-1,8.450619065,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,1,3,hr,rsoil,25.72178478,umol m-2 sec-1,2.789847604,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,1,6,hr,rsoil,13.0183727,umol m-2 sec-1,4.117849143,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,1,24,hr,rsoil,6.194225722,umol m-2 sec-1,4.518833052,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,2,0,hr,rsoil,4.199475066,umol m-2 sec-1,3.152354647,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,2,1,hr,rsoil,4.829396325,umol m-2 sec-1,0.745626692,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,2,2,hr,rsoil,2.939632546,umol m-2 sec-1,1.787800085,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,2,3,hr,rsoil,1.88976378,umol m-2 sec-1,0.099765016,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,2,6,hr,rsoil,5.144356955,umol m-2 sec-1,2.735979992,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
389,2,24,hr,rsoil,2.729658793,umol m-2 sec-1,1.47311429,SD,6,plot/collar,Figure 4,"Li-cor, 6400",,,,
392,1,8,day,rsoil,2.5,umol m-2 sec-1,0.2,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,These data probably not usable since no measurements were taken before a pulse
392,2,8,day,rsoil,1.3,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,3,13,day,rsoil,4.1,umol m-2 sec-1,0.6,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,4,13,day,rsoil,1.5,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,5,19,day,rsoil,5.2,umol m-2 sec-1,0.9,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,6,19,day,rsoil,2.4,umol m-2 sec-1,0.3,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,7,1,day,rsoil,3.8,umol m-2 sec-1,0.3,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,8,1,day,rsoil,2.3,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,9,5,day,rsoil,4.6,umol m-2 sec-1,0.4,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,10,5,day,rsoil,2.4,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,11,4,day,rsoil,8.5,umol m-2 sec-1,0.9,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,11,19,day,rsoil,8,umol m-2 sec-1,1.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,11,68,day,rsoil,7.7,umol m-2 sec-1,1.8,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,12,4,day,rsoil,4,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,12,19,day,rsoil,4.3,umol m-2 sec-1,0.4,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,12,68,day,rsoil,3.9,umol m-2 sec-1,0.2,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,13,8,day,rsoil,4.9,umol m-2 sec-1,0.4,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,14,8,day,rsoil,1.8,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,15,5,day,rsoil,4.4,umol m-2 sec-1,0.3,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,16,5,day,rsoil,1.8,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,17,11,day,rsoil,2.9,umol m-2 sec-1,0.2,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,18,11,day,rsoil,1.1,umol m-2 sec-1,0.1,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,19,6,day,rsoil,3.7,umol m-2 sec-1,0.4,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
392,20,6,day,rsoil,1,umol m-2 sec-1,0,SE,5,plot/collar,Table 2,"Licor, 8100",afternoon,,,
409,1,-1,day,reco,2.245614035,umol m-2 sec-1,0.248503612,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,-1,day,reco,2.175438596,umol m-2 sec-1,0.389267286,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,-1,day,reco,1.824561404,umol m-2 sec-1,0.387203302,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,0,day,reco,1.824561404,umol m-2 sec-1,0.246026832,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,0,day,reco,1.754385965,umol m-2 sec-1,0.245614035,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,0,day,reco,6.315789474,umol m-2 sec-1,2.53126935,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,0,day,reco,3.789473684,umol m-2 sec-1,0.328173375,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,0,day,reco,3.228070175,umol m-2 sec-1,0.18369453,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,1,day,reco,3.01754386,umol m-2 sec-1,0.523426213,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,1,day,reco,3.298245614,umol m-2 sec-1,0.748813209,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,1,day,reco,4.070175439,umol m-2 sec-1,0.234881321,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,1,day,reco,4,umol m-2 sec-1,0.164705882,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,1,day,reco,3.01754386,umol m-2 sec-1,0.323632611,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,2,day,reco,2.947368421,umol m-2 sec-1,0.252631579,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,2,day,reco,2.877192982,umol m-2 sec-1,0.524251806,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,2,day,reco,3.228070175,umol m-2 sec-1,0.324871001,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,2,day,reco,3.438596491,umol m-2 sec-1,0.326109391,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,2,day,reco,2.947368421,umol m-2 sec-1,0.464396285,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,3,day,reco,2.877192982,umol m-2 sec-1,0.252218782,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,3,day,reco,2.947368421,umol m-2 sec-1,0.676160991,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,3,day,reco,3.087719298,umol m-2 sec-1,0.394633643,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,3,day,reco,3.157894737,umol m-2 sec-1,0.39504644,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,3,day,reco,2.666666667,umol m-2 sec-1,0.392156863,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,4,day,reco,2.666666667,umol m-2 sec-1,0.321568627,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,1,4,day,reco,2.666666667,umol m-2 sec-1,0.321568627,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,-1,day,reco,1.325443787,umol m-2 sec-1,0.272812208,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,-1,day,reco,1.467455621,umol m-2 sec-1,0.344648604,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,-1,day,reco,1.183431953,umol m-2 sec-1,0.130800374,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,0,day,reco,1.112426036,umol m-2 sec-1,0.200145334,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,0,day,reco,1.25443787,umol m-2 sec-1,0.201806291,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,0,day,reco,5.514792899,umol m-2 sec-1,2.637599917,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,0,day,reco,3.100591716,umol m-2 sec-1,0.153223295,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,0,day,reco,2.603550296,umol m-2 sec-1,0.287760822,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,1,day,reco,2.24852071,umol m-2 sec-1,0.494134745,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,1,day,reco,2.532544379,umol m-2 sec-1,0.707982975,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,1,day,reco,2.674556213,umol m-2 sec-1,0.358766739,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,1,day,reco,3.24260355,umol m-2 sec-1,0.786463199,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,1,day,reco,2.319526627,umol m-2 sec-1,0.635316101,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,2,day,reco,2.24852071,umol m-2 sec-1,0.7748365,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,2,day,reco,2.177514793,umol m-2 sec-1,0.774006021,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,2,day,reco,2.177514793,umol m-2 sec-1,0.563479705,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,2,day,reco,2.74556213,umol m-2 sec-1,0.429772656,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,2,day,reco,2.319526627,umol m-2 sec-1,0.424789785,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,3,day,reco,2.106508876,umol m-2 sec-1,0.562649227,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,3,day,reco,1.680473373,umol m-2 sec-1,0.136613724,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,3,day,reco,2.106508876,umol m-2 sec-1,0.422298349,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,3,day,reco,2.24852071,umol m-2 sec-1,0.564310184,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,3,day,reco,2.106508876,umol m-2 sec-1,0.703000104,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,3,day,reco,2.106508876,umol m-2 sec-1,0.632824665,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,2,4,day,reco,2.035502959,umol m-2 sec-1,0.421467871,SD,3,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,3,-1,day,reco,-4.613138686,umol m-2 sec-1,,,1,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,3,-1,day,reco,-3.649635036,umol m-2 sec-1,,,1,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,3,-1,day,reco,3.839416058,umol m-2 sec-1,,,1,plot/collar,Figure 3,Minicuvette CMS400,,,,
409,3,-1,day,reco,3.357664234,umol m-2 sec-1,,,1,plot/collar,Figure 3,Minicuvette CMS400,,,,
