Study ID,,,,,Site information,,,,,,,,,,,,,,,,,,,,,,Site history and vegetation information,,,,,,,,General experiment information,,,,
Study ID,Citation name,DOI,Source file name,Person extracting data,Location name,Location country,Experiment name,Elevation (m),Latitude,Longitude,lat_lon_method,lat_lon_notes,MAT (oC),MAP (mm),Soil texture,Soil taxonomy or description,Depth to bedrock,Depth to bedrock units,Depth to groundwater,Depth to groundwater units,Soil C:N,Soil C content,Soil organic matter content,Soil pH,Plant biomass/cover/LAI,Plant bio/cov/LAI units,Dominant species,Species diversity,Species diversity type,%C4,Vegetation type,Whittaker biome,Site history,Managed type,Planting/removal date,Experiment type,Facility type,Original goal of experiment,Notes
389,Strong et al. 2017,https://doi.org/10.1111/gcb.13525,Strong_2017_GlobalChangeBiology_1a_389,RDB,Jasper Ridge Biological Preserve,USA,Jasper Ridge Global Change Experiment,120,37.4,-122.2333333,reported,,,,clay loam,,,,,,,,,,,,"Avena barbata, Avena fatua",,,,grassland,,,,,field-intact,outdoor,,
392,Sun et al. 2018,https://doi.org/10.1016/S1002-0160(17)60450-8,Sun_2018_Ecohydrology_1a_392,RDB,Renmark,AUS,,,-34.04475278,140.7619917,reported,,,242,silt clay loam,Aridisols,,,,,,,,,,,"Eucalyptus camaldulensis, Eucalyptus largiflorens, Mueblenbackia florulenta",,,,floodplain woodland,,flood-controlled ,,,field-intact,outdoor,,
409,Unger et al. 2010,https://doi.org/10.1016/j.soilbio.2010.06.019,Unger_2010_SoilBiolBiochem_1a_409,RDB,Portuguese Alentejo at Herdade da Mitra,POR,,264,38.54070806,-8.000395556,reported,,15.5,669,,,,,,,,,,,0.55,LAI,Quercus ilex ssp. Ballota,,,,oak woodland,,,,,field-intact,outdoor,,
488_1,"Wu and Lee, 2011",https://doi.org/10.1007/s11104-010-0548-2,Wu_2011_PlantSoil_1a_448,RDB,"Norfolk, Connecticuit",USA,,,41.96666667,-73.23333333,reported,,,1310,,,,,,,,,,,,,"Acer rubrum, Quercus spp., Fagus grandifolia, Pinus strobus, Kalmia latifolia",,,,deciduous woodland,,intact,,,field-intact,outdoor,,
488_2,"Wu and Lee, 2011",https://doi.org/10.1007/s11104-010-0548-2,Wu_2011_PlantSoil_1a_448,RDB,"Petersham, MA",USA,,,42.88333333,-72.28333333,reported,,,1100,sandy loam,,,,,,,,,,,,"Quercus rubra, Acer rubrum, Betual alleghaniensis, Fagus grandifolia, Acer saccharum, Tsuga canadensis",,,,deciduous woodland,,intact,,,field-intact,outdoor,,
452,Xiong et al. 2017,https://doi.org/10.1071/FP17040,XiongPF_FunctionalPlantBiology_2017,RDB,Shaanzi Province,CHN,"Ansai Research Station of the Soil and Water Conservation Institute, Chinese Academy of Sciences",1150,36.85861111,109.3230556,reported,,8.8,540.4,silt loam,,,,,,,0.55%,,,,,"Bothrichloa ischaemum, Lespedeza davurica",,,,grassland,,intact,Research station,,field-intact,outdoor,,
455,"Xu and Luo, 2012",https://doi.org/10.1016/j.geoderma.2011.11.016,Xu_2012_Geoderma_1a_455,RDB,Jinlin Province,CHN,National Research Station of Changbai Mountain Forest Ecosystems,738,42.4,128.1,reported,,4.1,855,,,,,,,,,,,1556,trees ha-1,"Pinus koraiensis, Tilia amurensis, Quercus mongolica, Fraxins mandsburica",,,,,,,,,field-intact,outdoor,,
691,Liu et al. 2002,https://doi.org/10.1023/A:1015744126533,Liu_2002_PlantAndSoil_1b_691,RDB,Norman Oklahoma,USA,,,35.2,-97.4,reported,,,,clay loam,,,,,,,,,,,,"Panicum vigatum, Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans, Ambrosia psilostachia, Xanthocephalum texanum, Bromus japonicus Eragrostis spp.",,,,Tallgrass prarie,,,,,field-intact,outdoor,,
54,Carbone et al. 2011,https://doi.org/10.1007/s00442-011-1975-3,Carbone_2011_Oecologia_1a_54,RDB,Santa Cruz Island,USA,,42,34.01311111,-119.8030889,reported,,,500,silt loam,,,,,,,2.80%,,,,,"Pinus muricata, Arctostaphylos insularis, Quercus pacifica",,,,woodland,,intact,National Park,,field-intact,outdoor,,
256,Mitra et al. 2016,https://doi.org/10.1016/j.jaridenv.2016.09.005,Mitra2016_JAridEnv_1a_265,RDB,Saratoga Wyoming,USA,,2173,41.45,106.81,reported,,7.1,327,sandy loam,,,,,,,,,,37,%,"Artemeia tridentata ssp.wyomingensis, Festuca idahoensis, Poa secunda, Koeleria macrantha, Eriogonum umbellatum, Phlox spp.",,,,shrubland,,,,,field-intact,outdoor,,
643_1,Ignace et al. 2007,https://doi.org/10.1007/s00442-007-0670-x,Ignace_2007_Oecologia_1b_643,RDB,Tuscon Arizona,USA,Santa Rita Experimetnal Range,1100,31.78,-110.88,estimated,From English et al. 2005,,375,clay,,,,,,,,,,,,"Heteropogon contortus, Eragrostis lehmanniana",,,,,,,,spring 2001,field-planted,outdoor,,
643_2,Ignace et al. 2007,https://doi.org/10.1007/s00442-007-0670-x,Ignace_2007_Oecologia_1b_643,RDB,Tuscon Arizona,USA,Santa Rita Experimetnal Range,1100,31.78,-110.88,estimated,From English et al. 2005,,375,loamy sand,,,,,,,,,,,,"Heteropogon contortus, Eragrostis lehmanniana",,,,,,,,spring 2001,field-planted,outdoor,,
226,Lopez-Ballesteros et al. 2016,https://doi.org/10.1002/2015JG003091,Lopez-Ballesteros_2016_JGRBiogeosciences_1a_226,RDB,Almeria ,ESP,Balsa Blanca,208,36.94055556,-2.033,reported,,18,220,sandy loam,Calcaric Lithic Leptosol,,,,,,,,,51,%,"Machrocloa tenacissima, Chamaerops humilis, Rhamnus lycoides, Pistacia lentiscus",,,,grassland,,,Natrual Park,,field-intact,outdoor,,
807,Sponseller 2007,https://doi.org/10.1111/j.1365-2486.2006.01307.x,Sponseller_2007_GlobalChangeBiology_1b_805,RDB,Phoenix Arizona,USA,,1295.5,33.753,-111.493,estimated,pers. communication,,450,sandy loam,,,,,,,,,,53,%,Prosopis velutina,,,,shrubland,,intact,,,field-intact,outdoor,,
150,Harms and Grimm 2012,https://doi.org/10.1029/2011JG001775,Harms_2012_JGR_1a_150,RDB,San Pedro River,USA,,1300,31.62592644,-110.1745226,estimated,of nearest USGS #09471000 located 3 and 10.5 km downstream from the study floodplains,,525,,,,,,,,,,,,,"Populus fremontii, Baccharis salicifolia, Baccharis emoryi, Sporobolus wrightii, Sorghum halepense, Cynodon dactylon",,,,riperian ,,,,,field-intact,outdoor,,
879,Hussain et al. 2015,https://doi.org/10.1016/S1002-0160(14)60081-3,Hussain_2015_Pedosphere_2a_879,EGR,Madurai,India,Madurai Kamaraj University botanical garden,133,10,78.17,reported,,,600,loam,lateritic,,,,,,,,8.5,,,Cenchrus ciliaris L.,,,,grassland,,ungrazed for 20 years,,,,,,
888,Hamerlynck et al. 2012,https://doi.org/10.1002/eco.214,Hamerlynck_2012_Ecohydrology_2a_888,EGR,"Tombstone, AZ",USA,Walnut Gulch Experimental Watershed,1526,31.74,-109.94,reported,,,210,sandy loam,"coarse-loamy, mixed, superactive thermic Ustic Haplocalcids",,,,,,,,,,,"Bouteloua eriopoda, Bouteloua curtipendula, Bouteloua hirsuta, Heteropogon contortus, Hilaria berlangeri, Eragrostis lehmannaiana",,,,desert grassland,,,,,,,,
898,Williams et al. 2009,https://doi.org/10.1007/s00442-009-1405-y,Williams_2009_Oecologia_2a_898,EGR,Skukuza,South Africa,Kruger National Park,370,-25.065,31.555,estimated,"google, 15 km southwest of Skukuza, South Africa",,550,sandy loam,"65% sand, 30% clay, and 5% silt",,,,,,,,,,,"Sclerocarya birream, Panicum maximum, Digitaria eriantha, Eragrostis rigidor, Pogonarthria squarrosa",,,,Acacia-Combretum savanna,,,,,,,,
910,Scott et al. 2006,https://doi.org/10.1002/hyp.6329,Scott_2006_HydrolProc_2a_910,EGR,"Luky Hills Shrubland, AZ",USA,USDA-ARS Walnut Gulch Experimental Watershed,1370,31.76,-110.05,reported,,,322,sandy loam,gravelly-sandy loam,,,,,,,,,,,"Larrea tridentata, Parthenium incanum, Acacia constricta, Rhus microphylla, Flourensia cernua",,,,semiarid desert shrubland,,,,,,,,
912,Potts et al. 2006,https://doi.org/10.1111/j.1365-2745.2005.01060.x,Potts_2006_Jecol_2a_912,EGR,"Santa Rita Experimental Range, AZ",USA,Santa Rita Experimental Range,1120,31.82,-110.87,reported,,,,loamy sand,,,,,,,,,,,,"Heteropogon contortus L., Eragrostis lehmanniana",,,,semiarid desert shrubland,,,,1-Jul,,,,
914,Yepez et al. 2005,https://doi.org/10.1016/j.agrformet.2005.09.006,Yepez_2005_AgForMet_2a_914,EGR,"Santa Rita Experimental Range, AZ",USA,Santa Rita Experimental Range,1120,31.82,-110.87,reported,,,,loamy sand,,,,,,,,,,,,"Eragrostis lehmanniana, Heteropogon contortus",,,,semiarid desert shrubland,,,,,,,,
932,Piayda et al. 2017,https://doi.org/10.5194/bg-14-2293-2017,Piayda_2017_biogeosciences_2b_932,EGR,Lisbon,Portugal,,,39.14,-8.33,reported,,15.9,680,,,,,,,,,,,,,Quercus suber L.,,,,open cork woodland,,,,,,,,
938,Niu et al. 2017,https://doi.org/10.3389/fpls.2016.00663,Niu_2017_FrontPlantScience_2b_938,EGR,"Ansai County, Shaanxi Province",China,Ansai Research Station,1200,36.85,109.3166667,reported,,8.8,540,,Calcic Cambisols,,,,,,,,,,,"Bothriochloa ischaemum, Lespedeza davurica, Artemisia vestita, Astragalus melilotoides, Cleistogenes chinensis, Stipa bungeana, Leymus secalinus",,,,semi-arid forest-steppe grassland,,,,,,,,
962,Pockman et al. 2010,https://doi.org/10.1007/s10021-010-9337-2,Pockman_2010_Ecosystems_2b_962,EGR,"McKenzie Flats area, Sevilleta National Wildlife Refuge, NM",USA,,1500,34.33333333,-106.75,reported,,,230,sandy loam,,,,,,,,,,50-60,%,"Bouteloua eriopoda, Larrea tridentata",,,,grassland-shrubland,,,,,,,,
